place_name,city,state,country,category,description,attractions,nearby_places,tags,image_query,avg_budget_per_day,best_season,rating,latitude,longitude
Goa,Goa,Goa,India,"Beach, Nightlife","Goa is known for its stunning beaches, vibrant nightlife, and Portuguese-influenced architecture. Perfect for relaxation and parties.","Baga Beach, Calangute Beach, Fort Aguada, Dudhsagar Falls","Old Goa, Panjim","Beach, Nightlife, Relaxing, Seafood, Parties",goa beach,5000,Winter,4.8,15.2993,73.9850
Manali,Manali,Himachal Pradesh,India,"Mountain, Adventure","A high-altitude Himalayan resort town known as a gateway for skiing in the Solang Valley and trekking in Parvati Valley.","Rohtang Pass, Solang Valley, Hadimba Devi Temple, Beas River","Kullu, Shimla","Mountain, Adventure, Snow, Trekking, Romantic",manali mountains,3500,Winter,4.7,32.2432,77.1892
Leh,Leh,Ladakh,India,"Mountain, Adventure","Famous for its breathtaking landscapes, vibrant Buddhist monasteries, and high-altitude mountain passes.","Pangong Lake, Nubra Valley, Khardung La Pass, Shanti Stupa","Nubra Valley, Srinagar","Adventure, Mountain, Peace, Buddhist Monasteries",ladakh,6000,Summer,4.9,34.1526,77.5770
Shimla,Shimla,Himachal Pradesh,India,"Hill Station, Heritage","The former summer capital of British India, known for its colonial architecture and Mall Road shopping.","The Ridge, Mall Road, Jakhoo Temple, Kufri","Manali, Chandigarh","Hill Station, Heritage, Romantic, Families",shimla hill station,4000,Winter,4.6,31.1048,77.1734
Jaipur,Jaipur,Rajasthan,India,"Culture, Heritage","The Pink City known for its majestic forts, palaces, and vibrant Rajasthani culture.","Amer Fort, Hawa Mahal, City Palace, Jantar Mantar","Pushkar, Udaipur","Culture, Heritage, Royalty, Shopping, Palaces",jaipur palaces,3000,Winter,4.7,26.9124,75.7873
Udaipur,Udaipur,Rajasthan,India,"Culture, Romantic","The City of Lakes known for its exquisite palaces and serene boat rides on Lake Pichola.","City Palace, Lake Pichola, Jag Mandir, Saheliyon-ki-Bari","Pushkar, Jaipur","Culture, Romantic, Lakes, Royalty",udaipur palaces,4500,Winter,4.8,24.5854,73.7125
Munnar,Munnar,Kerala,India,"Nature, Relaxing","A picturesque hill station in Kerala famous for its rolling tea gardens and mist-covered hills.","Eravikulam National Park, Mattupetty Dam, Tea Museum, Anamudi","Kochi, Alleppey","Nature, Relaxing, Tea Gardens, Romantic",munnar tea gardens,4000,Winter,4.7,10.0889,77.0595
Alleppey,Alappuzha,Kerala,India,"Nature, Relaxing","Famous for its network of canals and backwaters with overnight stays in traditional houseboats.","Backwaters, Alappuzha Beach, Pathiramanal Island, Krishnapuram Palace","Kochi, Munnar","Nature, Relaxing, Backwaters, Houseboat",kerala backwaters,4500,Winter,4.7,9.4981,76.3388
Rishikesh,Rishikesh,Uttarakhand,India,"Spiritual, Adventure","Known as the Yoga Capital of the World, famous for its spiritual atmosphere and white-water rafting.","Laxman Jhula, Ram Jhula, Triveni Ghat, Beatles Ashram","Haridwar, Dehradun","Spiritual, Adventure, Yoga, River Rafting",rishikesh yoga,2500,Winter,4.7,30.0869,78.2676
Haridwar,Haridwar,Uttarakhand,India,"Spiritual, Culture","One of the holiest places in India, famous for the evening Ganga Aarti and pilgrimage sites.","Har Ki Pauri, Mansa Devi Temple, Chandi Devi Temple, Ganga Aarti","Rishikesh, Dehradun","Spiritual, Culture, Pilgrimage, Religious",haridwar ganges,2000,Winter,4.5,29.9457,78.1642
Agra,Agra,Uttar Pradesh,India,"Heritage, Culture","Home to the world-famous Taj Mahal and other Mughal-era historical monuments.","Taj Mahal, Agra Fort, Fatehpur Sikri, Itmad-ud-Daulah","Mathura, Delhi","Heritage, Culture, Wonders of World, Mughal Architecture",taj mahal agra,3500,Winter,4.8,27.1767,78.0081
Varanasi,Varanasi,Uttar Pradesh,India,"Spiritual, Culture","One of the oldest continuously inhabited cities in the world, known for its ghats and spiritual vibes.","Dashashwamedh Ghat, Kashi Vishwanath Temple, Manikarnika Ghat, Sarnath","Allahabad, Lucknow","Spiritual, Culture, Oldest City, Ganges, Religious",varanasi ghats,2000,Winter,4.9,25.3176,82.9739
Puri,Puri,Odisha,India,"Beach, Spiritual","Known for the Jagannath Temple and its golden sand beaches on the Bay of Bengal.","Jagannath Temple, Puri Beach, Konark Sun Temple, Chilika Lake","Bhubaneswar, Konark","Beach, Spiritual, Pilgrimage, Religious",puri beach,2500,Winter,4.6,19.8134,85.8315
Darjeeling,Darjeeling,West Bengal,India,"Hill Station, Nature","Famous for its tea industry and the Darjeeling Himalayan Railway, with views of Kangchenjunga.","Tiger Hill, Batasia Loop, Darjeeling Himalayan Railway, Peace Pagoda","Sikkim, Gangtok","Hill Station, Nature, Tea Gardens, Himalayan Views",darjeeling tea gardens,4000,Spring,4.7,27.0360,88.2627
Gangtok,Gangtok,Sikkim,India,"Hill Station, Adventure","A serene hill station offering beautiful Himalayan views and opportunities for mountain trekking.","Tsomgo Lake, Rumtek Monastery, Nathu La Pass, MG Marg","Darjeeling, Pelling","Hill Station, Adventure, Mountain Views, Buddhist Monasteries",gangtok mountains,4000,Summer,4.7,27.3389,88.6065
Kochi,Kochi,Kerala,India,"Culture, Heritage","A historic port city with a mix of Portuguese, Dutch, and British colonial history and Kerala culture.","Fort Kochi, Chinese Fishing Nets, Mattancherry Palace, Jew Town","Munnar, Alleppey","Culture, Heritage, Coastal, Food",kochi kerala,3000,Winter,4.6,9.9312,76.2673
Puducherry,Puducherry,Puducherry,India,"Culture, Beach","A former French colony known for its charming streets, French cuisine, and beautiful beaches.","Auroville, Paradise Beach, Promenade Beach, Matrimandir","Chennai, Madurai","Culture, Beach, Relaxing, Food",pondicherry french colony,3500,Winter,4.7,11.9139,79.8145
Hampi,Hampi,Karnataka,India,"Heritage, Adventure","A UNESCO World Heritage site known for its ancient ruins and surreal boulder-strewn landscape.","Virupaksha Temple, Vitthala Temple, Hampi Boulders, Lotus Mahal","Badami, Hubli","Heritage, Adventure, Ruins, History, Bouldering",hampi ruins,2000,Winter,4.9,15.3350,76.4600
Coorg,Madikeri,Karnataka,India,"Nature, Relaxing","Known as the Scotland of India, famous for its coffee plantations and rolling hills.","Abbey Falls, Talakaveri, Raja's Seat, Dubare Elephant Camp","Mysore, Wayanad","Nature, Relaxing, Coffee Gardens, Hill Station",coorg coffee gardens,3500,Winter,4.7,12.4244,75.7382
Ooty,Ooty,Tamil Nadu,India,"Hill Station, Nature","A popular hill station in the Nilgiri Hills, known for its gardens and the Nilgiri Mountain Railway.","Government Botanical Garden, Ooty Lake, Doddabetta Peak, Pykara Falls","Coonoor, Kodai","Hill Station, Nature, Toy Train, Gardens",ooty flower garden,3500,Summer,4.6,11.4064,76.6932
Kodaikanal,Kodaikanal,Tamil Nadu,India,"Hill Station, Nature","A misty hill station known for its star-shaped lake and forest glades.","Kodaikanal Lake, Bryant Park, Coaker's Walk, Pillar Rocks","Ooty, Madurai","Hill Station, Nature, Relaxing, Romantic",kodaikanal lake,3500,Summer,4.7,10.2381,77.4892
Mahabalipuram,Mahabalipuram,Tamil Nadu,India,"Heritage, Beach","Famous for its rock-cut temples and monuments dating back to the 7th and 8th centuries.","Shore Temple, Pancha Rathas, Arjuna's Penance, Mahabalipuram Beach","Chennai, Puducherry","Heritage, Beach, History, Sculptures",mahabalipuram shore temple,3000,Winter,4.6,12.6208,80.1945
Mumbai,Mumbai,Maharashtra,India,"City, Nightlife","The financial capital of India, known for Bollywood, colonial buildings, and a busy coastal life.","Gateway of India, Marine Drive, Elephanta Caves, Juhu Beach","Lonavala, Pune","City, Nightlife, Food, Bollywood, Shopping",mumbai skyline,4000,Winter,4.5,19.0760,72.8777
Bangalore,Bangalore,Karnataka,India,"City, Garden","The Garden City of India and Silicon Valley known for its parks and vibrant pub culture.","Lalbagh Botanical Garden, Cubbon Park, Bangalore Palace, Bannerghatta National Park","Mysore, Coorg","City, Garden, Technology, Nightlife, Food",bangalore palace,3500,Autumn,4.6,12.9716,77.5946
Hyderabad,Hyderabad,Telangana,India,"City, Culture","Known for its rich Islamic heritage, monuments like Charminar, and world-famous Biryani.","Charminar, Golconda Fort, Ramoji Film City, Hussain Sagar Lake","Warangal, Bidar","City, Culture, Food, History",hyderabad charminar,3000,Winter,4.7,17.3850,78.4866
Dharamshala,Dharamshala,Himachal Pradesh,India,"Spiritual, Mountain","The residence of the Dalai Lama, offering Buddhist culture and beautiful Himalayan scenery.","McLeod Ganj, Bhagsunag Falls, Tsuglagkhang Complex, Dharamshala Cricket Stadium","Dalhousie, Manali","Spiritual, Mountain, Buddhist, Peace",dharamshala cricket stadium,3000,Summer,4.8,32.2190,76.3234
